datum;club;spel;circuit;uur;ronden;team;categorie;notitie
28/05/2026;PC Gullegem;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
4/06/2026;Oostende PC;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
11/06/2026;PC Gulden Kamer;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
18/06/2026;PC Koksijde;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
25/06/2026;PC Okapi;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
2/07/2026;PC Vuurtoren;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
9/07/2026;PC Okapi;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
16/07/2026;PC Nieuwpoort;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
23/07/2026;PC Den Akker;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
30/07/2026;PC De Zeemeermin;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
6/08/2026;PC Gulden Kamer;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
13/08/2026;PC De Zeemeermin;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
20/08/2026;Oostende PC;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
27/08/2026;PC Vuurtoren;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
3/09/2026;PC Gullegem;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
10/09/2026;PC Den Akker;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
3/06/2026;PC Donkmeer;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
10/06/2026;PC Haeseveld;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
17/06/2026;PC Mistral;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
1/07/2026;PC Schorpioen;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
8/07/2026;PC Verbroedering;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
15/07/2026;PC Apollo;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
29/07/2026;PC Haeseveld;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
5/08/2026;PC Reynaert;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
12/08/2026;PC Alosta;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
19/08/2026;PC Reynaert;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
2/09/2026;PC Schorpioen;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
28/12/2025;PC Mistral;Doublet gemengd;PC;14:00;;Patrick, Sengiz;;
3/01/2026;PC Alosta;Triplet, Doublet;PC;13:00;4;Patrick - Annie - Eddy;50+;
14/02/2026;PC Verbroedering;Triplet;PC;14:00;;Patrick - Annie - Eddy;50+;
21/02/2026;pc pc Haeseveld;Damesdoublet;PC;14:00;4;Annie Mia;50+;
14/03/2026;PC Verbroedering;Doublet;PC;14:00;;Patrick - Annie;50+;
18/03/2026;KPC Mistral;Kwartetten min 1 dame;PC;13:30;5;Patrick - Annie;50+;
28/03/2026;pc Haeseveld;H/G Triplet kleurentornooi;PC;13:00;4;Patrick - Annie - Freddy;50+;
1/04/2026;pc Haeseveld;H/G Triplet;PC;14:00;4;Patrick - Annie - Mia;50+;
4/04/2026;PC Haeseveld;Triplet Dames;PC;14:00;4;Ann - Annie - Mia;50+;
11/04/2026;pc Haeseveld;Heren gemeng doublet, Doublet;PC;14:00;4;Patrick + Thierry;50+;
19/04/2026;KPC Mistral;PKGD;PC;9:00;4;Anni + Patrick;50+;
25/04/2026;kpc Schorpioen;Triplet;PC;14:00;4;Patrick + Annie + Patrick;50+;
29/04/2026;pc Haeseveld;H/G doublet;PC;14:00;4;Patrick - Annie;50+;
5/07/2026;PC Mistral;Doublet gemengd;PC;14:00;4;Patrick - Annie;50+;
22/08/2026;PC Verbroedering;Doublet gemengd;PC;13:00;4;Patrick - Annie;50+;
29/08/2026;Vzw De Kautervrienden;Triplet gemengd;PC;10:00;4 rondes finale en halve finale;Patrick - Annie;AllCat;
22/05/2026;Beachpetanque;triplet;PC;14:00;4;Patrick - Annie;50+;
6/05/2026;PC Schorpioen;triplet;PC;13:30;3;Patrick - Gunther - Herman;50+;Kampioenschap triplet 50+
23/05/2026;PC Schorpioen;Triplet gemengd;PC;14:00;;Patrick - Annie - Etienne;50+;
5/06/2026;PC Mistral;Doublet gemengd;PC;14:00;4;Patrick - Annie;50+;
26/07/2026;PC Mistral;Kwartetten min 1 dame;PC;14:00;4;Patrick - Annie;50+;
2/08/2026;Deinze;Triplet;PC;9:30;5;Patrick - Annie - Freddy;;
8/08/2026;Deinze;Triplet;PC;9:30;5;Patrick - Annie - Gregory;;
22/08/2026;PC Verbroedering;Doublet;PC;14:00;4;Patrick - Annie;50+;
30/08/2026;Riddertornooi;;PC;14:00;;Patrick - Annie;50+;
5/09/2026;Pius X;Triplet;PC;14:00;4;Patrick - Annie;;
16/09/2026;PC Haeseveld;Doublet H D Appart;PC;14:00;4;Patrick - Annie;50+;
;;;PC;;;Patrick - Annie;;
