datum;club;spel;circuit;uur;ronden;team;categorie;notitie
3/06/2026;PC Donkmeer;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
10/06/2026;PC Haeseveld;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
17/06/2026;PC Mistral;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
1/07/2026;PC Schorpioen;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
8/07/2026;PC Verbroedering;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
15/07/2026;PC Apollo;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
29/07/2026;PC Haeseveld;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
5/08/2026;PC Reynaert;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
12/08/2026;PC Alosta;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
19/08/2026;PC Reynaert;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
2/09/2026;PC Schorpioen;Doublet;Zomer_Oost;14:30;3;Patrick - Annie;50+;
28/05/2026;PC Gullegem;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
4/06/2026;Oostende PC;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
11/06/2026;PC Gulden Kamer;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
18/06/2026;PC Koksijde;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
25/06/2026;PC Okapi;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
2/07/2026;PC Vuurtoren;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
9/07/2026;PC Okapi;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
16/07/2026;PC Nieuwpoort;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
23/07/2026;PC Den Akker;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
30/07/2026;PC De Zeemeermin;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
6/08/2026;PC Gulden Kamer;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
13/08/2026;PC De Zeemeermin;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
20/08/2026;Oostende PC;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
27/08/2026;PC Vuurtoren;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
3/09/2026;PC Gullegem;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
10/09/2026;PC Den Akker;Doublet;Zomer_West;14:00;3;Patrick - Annie;50+;
2025-12-28;PC Mistral;Doublet gemengd;PC;14:00;;Patrick, Sengiz;;
2026-01-03;PC Alosta;Triplet, Doublet;PC;13 uur;4 ronden;Patrick - Annie - Eddy;50+;
2026-02-14;PC Verbroedering;Triplet;PC;;;Patrick - Annie - Eddy;50+;
2026-02-21;pc pc Haeseveld;Damesdoublet;PC;14 uur;4 ronden;;50+;
2026-03-14;PC Verbroedering;Doublet;PC;;;Patrick - Annie;50+;
2026-03-18;KPC Mistral;Kwartetten min 1 dame;PC;13:30 u;4 ronden;Patrick - Annie;50+;
2026-03-19;Pc singel, Grimbergen;Doublet gemengd;PC;10:00;;Patrick, Annie;50+;16 € per doublet
2026-03-28;pc Haeseveld;H/G Triplet kleurentornooi;PC;13 uur;4 ronden;;50+;
2026-04-01;pc Haeseveld;H/G Triplet;PC;14 uur;4 ronden;Patrick - Annie - Mia;50+;
2026-04-04;PC Mistral;Test;PC;19:35;;;50+;
2026-04-04;PC Haeseveld;Triplet Dames;PC;14:00;4;Ann - Annie - Mia;50+;
2026-04-11;pc Haeseveld;Heren gemeng doublet, Doublet;PC;14 uur;4 ronden;Patrick + Thierry;50+;
2026-04-19;KPC Mistral;PKGD;PC;9:30 u;4 ronden;Anni + Patrick;50+;
2026-04-25;kpc Schorpioen;Triplet;PC;14:00 u;4 ronden;Patrick + Annie + Patrick;50+;
2026-04-29;pc Haeseveld;H/G doublet;PC;14 uur;4 ronden;Patrick - Annie;50+;
2026-07-05;PC Mistral;Doublet gemengd;PC;14:00;4;Patrick - Annie;50+;
2026-08-22;PC Verbroedering;Doublet gemengd;PC;13:00;;Patrick - Annie;50+;
2026-08-29;Vzw De Kautervrienden;Triplet gemengd;PC;10:00;4 rondes finale en halve finale;Patrick - Annie;AllCat;
